形態,工事名,工事箇所　　※起点側を代表して記入,緯度,経度,着工,竣工,発注者
単独,小田急電鉄座間C建替２期,神奈川県座間市ひばりが丘４－２６－１,35.477286,139.43261,2013/07/04,2015/05/31,小田急電鉄株式会社
単独,在宅財団柏豊四季台造成,千葉県柏市豊四季台,35.867401,139.956027,2014/10/01,2015/05/31,積水ハウス株式会社
ＪＳ,都水道朝霞原水連絡管,朝霞市泉水一丁目６番地先,35.801524,139.575029,2013/01/28,2015/08/24,東京都水道局
ＪＳ,川崎市潮見台生田送水管２,川崎市多摩区南生田６丁目２－２番地先,35.605033,139.54,2012/11/30,2015/09/15,川崎市上下水道局
ＪＳ,川崎市入江崎水処理新設,神奈川県川崎市川崎区塩浜３－１７－１,35.519465,139.740248,2013/03/04,2015/08/31,川崎市下水道局
単独,都水道朝霞浄水流出管布設,埼玉県朝霞市宮戸一丁目３番１号	,35.821377,139.590424,2014/03/17,2015/08/25,東京都水道局
単独,関東地整外環拡幅技術開発,茨城県つくば市要315,36.110324,140.076697,2014/11/06,2015/09/30,国土交通省関東地方整備局
ＪＳ,川崎市溝口駅地下駐輪場,神奈川県川崎市高津区久本１丁目地先,35.596943,139.612482,2013/03/26,2015/11/30,川崎市建設局
単独,三菱電機観音山法面改修,神奈川県鎌倉市岡本1丁目120-1三菱電機観音山社宅敷,35.34823,139.522606,2015/04/20,2015/11/30,三菱電機株式会社
ＪＭ,川崎市ＲＰあさお処理施設,川崎市麻生区王禅寺１２８５番地ほか	,35.59134,139.52466,2011/12/26,2016/03/31,川崎市環境局
単独,ＣＥ清里の杜太陽光発電,山梨県北杜市高根町清里字小倉７９番１他,35.896212,138.474004,2014/04/11,2016/02/29,合同会社クリーンエナジー清里の杜
ＪＳ,京浜急行蒲田連立８－１０,東京都大田区西糀谷四丁目１２番地先,35.555457,139.729069,2014/10/06,2016/03/15,京浜急行電鉄株式会社
ＪＳ,都財務副１１号高架橋耐震,東京都新宿区西新宿二丁目地内,35.691348,139.693586,2014/10/17,2016/03/31,東京都財務局（建設局）
単独,三井化学構内保全工事９３,千葉県市原市337-1三井化学（株）市原工場構内,35.475485,140.040329,2014/11/25,2016/03/31,三井化学株式会社
ＪＳ,都財務佃大橋耐震補強２,東京都中央区湊三丁目～同区月島一丁目地内,35.669781,139.77971,2015/01/27,2016/03/30,東京都財務局（建設局）
ＪＳ,京成電鉄押上連立４工区８,東京都墨田区八広,35.718263,139.826246,2015/03/18,2016/03/31,京成電鉄株式会社
ＪＭ,新京成鎌ヶ谷立体交差１３,千葉県鎌ヶ谷市新鎌ヶ谷2,35.782102,140.001476,2015/04/01,2016/03/31,新京成電鉄株式会社 
単独,日揮東電富津火力配管基礎,千葉県富津市新富25番地(東電富津火力発電所内),35.348518,139.833685,2015/08/01,2016/03/31,日揮株式会社 
ＪＳ,京成電鉄葛飾連立１工区１,東京都葛飾区四つ木一丁目地先,35.733462,139.835237,2015/12/07,2016/03/31,京成電鉄株式会社
ＪＭ,西武電鉄石神井公園高架,東京都練馬区石神井町７丁目〜東大泉町５丁目地先	,35.743481,139.596553,2011/10/26,2016/04/28,西武鉄道株式会社
ＪＭ,京急野毛山隧道補修工事６,神奈川県横浜市南区南太田,35.438028,139.614861,2015/04/01,2016/05/31,京浜急行電鉄株式会社
単独,りそな銀行湖南衛生整備,東京都武蔵村山市大南五丁目１番地,35.736283,139.405928,2014/02/24,2016/09/30,株式会社りそな銀行
ＪＳ,川崎市平間配水調整池更新,神奈川県川崎市中原区上平間１６６８番地,35.554597,139.676553,2014/02/25,2016/07/31,川崎市上下水道局
ＪＳ,藤沢市柄沢雨水調整池築造,神奈川県藤沢市柄沢３３２番地先,35.355868,139.500121,2014/06/09,2016/07/04,藤沢市
単独,和光北ＩＣ土地区画造成,埼玉県和光市新倉二丁目、四丁目、五丁目の各一部,35.794084,139.618036,2013/03/26,2016/11/30,和光北インター地域土地区画整理組合
単独,三芳富士塚土地区画造成,埼玉県入間郡三芳町大字藤久保字富士塚及び字東の各一部の区域	,35.838093,139.524357,2013/10/01,2016/12/09,三芳町富士塚土地区画整理組合
ＪＳ,横浜市環状北西線立坑,神奈川県横浜市北八朔町220番の4地先	,35.532898,139.542019,2015/02/20,2016/12/28,横浜市
ＪＳ,都財務若潮橋撤去新橋下部,東京都品川区東品川五丁目地内	,35.622161,139.756078,2013/06/11,2017/01/31,東京都財務局
ＪＳ,道路保全公社佃大橋他耐震,東京都中央区湊三丁目地内から同区月島一丁目地内ほか５箇所	,35.669781,139.77971,2014/03/18,2017/03/31,公益法人東京都道路整備保全公社
